TIME_UTC,TIME_OBT,AOCS_ANGULAR_RATE_X,AOCS_ANGULAR_RATE_Y,AOCS_ANGULAR_RATE_Z
2024-10-22T10:00:57.373Z,1/0794311255:01746,+3.136445502840775e-07,+1.996180460341099e-07,+2.751629213452032e-07
2024-10-22T10:01:07.373Z,1/0794311265:01742,-1.302510582269801e-06,+1.814546917057008e-06,+2.781092508583391e-07
2024-10-22T10:01:17.373Z,1/0794311275:01748,+3.129212722580666e-07,+1.996980673963235e-07,+2.759960568529313e-07
2024-10-22T10:01:27.373Z,1/0794311285:01743,+3.134246160061032e-07,+1.997772933479299e-07,+2.755965220876862e-07
2024-10-22T10:01:37.373Z,1/0794311295:01747,+3.141373971684917e-07,+1.996789750036670e-07,+2.754446775134749e-07
2024-10-22T10:01:47.373Z,1/0794311305:01745,+3.136475490867478e-07,+1.999841905581217e-07,+2.761778015008601e-07
2024-10-22T10:01:57.373Z,1/0794311315:01747,+3.139926368201238e-07,+2.004393236132301e-07,+2.765532617430507e-07
2024-10-22T10:02:07.373Z,1/0794311325:01745,+3.144632960130311e-07,-1.551362012791653e-06,-1.472888083950484e-06
2024-10-22T10:02:17.373Z,1/0794311335:01742,+2.063749559776774e-06,+3.699094093998197e-06,+2.023639857456066e-06
2024-10-22T10:02:27.373Z,1/0794311345:01747,-1.435365198335081e-06,+2.037661552879834e-07,+2.027032625029622e-06
2024-10-22T10:02:37.373Z,1/0794311355:01742,+3.157556127172492e-07,+2.048096816204861e-07,+3.503606681955539e-06
2024-10-22T10:02:47.373Z,1/0794311365:01752,+3.145695331907652e-07,+1.816794917221575e-06,+1.890971078719615e-06
2024-10-22T10:02:57.373Z,1/0794311375:01746,+3.154848779027457e-07,+2.048388007096687e-07,+3.504055400149685e-06
2024-10-22T10:03:07.373Z,1/0794311385:01745,+1.932010596358287e-06,-1.410306163402513e-06,+3.501138482822347e-06
2024-10-22T10:03:17.373Z,1/0794311395:01746,+3.137475503700440e-07,+1.976097165709964e-07,-2.950484762223405e-06
2024-10-22T10:03:27.373Z,1/0794311405:01747,+1.931248830447468e-06,+2.021767193985973e-07,+1.888334456663653e-06
2024-10-22T10:03:37.373Z,1/0794311415:01743,+3.548050468927618e-06,-1.412353264153224e-06,+1.885652394779357e-06
2024-10-22T10:03:47.373Z,1/0794311425:01749,+3.153814538766060e-07,+2.011075047299384e-07,+2.766583602523831e-07
2024-10-22T10:03:57.373Z,1/0794311435:01744,+2.068313430712565e-06,+2.072983614822375e-07,+5.521752690868736e-06
2024-10-22T10:04:07.373Z,1/0794311445:01746,-3.186353134068634e-06,+1.949095706851364e-06,-1.466467084616220e-06
2024-10-22T10:04:17.373Z,1/0794311455:01750,+3.158506006551424e-07,-1.551092920560774e-06,-1.473332506372252e-06
2024-10-22T10:04:27.373Z,1/0794311465:01746,-1.436121020016889e-06,+1.951993781729801e-07,-4.965623869525796e-06
